pid        cpu        burstlen   arv        finish     waitingtime  turnaround
0          0          74         56         134        4            78        
1          0          149        173        322        0            149       
2          0          15         695        710        0            15        
3          0          50         901        951        0            50        
4          0          52         998        1051       1            53        
5          0          22         1053       1076       1            23        
6          0          364        1302       1666       0            364       
7          1          221        1531       1753       1            222       
8          0          38         2012       2051       1            39        
9          0          246        2207       2454       1            247       
10         0          52         2773       2826       1            53        
12         1          63         3471       3535       1            64        
11         0          193        3359       3553       1            194       
13         0          198        4024       4222       0            198       
14         1          199        4079       4279       1            200       
15         0          71         4224       4295       0            71        
16         0          30         4325       4355       0            30        
17         0          59         4769       4829       1            60        
18         0          190        4987       5178       1            191       
19         0          201        5220       5421       0            201       
20         1          108        5384       5492       0            108       
21         0          80         5439       5519       0            80        
22         1          201        5518       5720       1            202       
23         0          28         5695       5724       1            29        
24         0          21         6024       6046       1            22        
25         0          54         6242       6297       1            55        
26         0          91         6455       6547       1            92        
28         0          34         6645       6680       1            35        
27         1          227        6521       6749       1            228       
29         0          55         6875       6931       1            56        
30         0          14         7271       7285       0            14        
32         1          64         7584       7649       1            65        
31         0          169        7520       7690       1            170       
33         0          359        7729       8088       0            359       
34         0          222        8096       8319       1            223       
35         1          120        8260       8380       0            120       
36         0          31         8419       8451       1            32        
37         0          339        8508       8848       1            340       
39         1          172        9079       9253       2            174       
38         0          320        9022       9343       1            321       
40         0          76         9343       9420       1            77        
41         0          24         9443       9468       1            25        
42         0          29         9547       9577       1            30        
43         0          68         9631       9700       1            69        
44         0          27         9751       9779       1            28        
45         0          61         9951       10012      0            61        
46         0          107        10230      10338      1            108       
47         0          90         10342      10433      1            91        
48         0          112        10501      10614      1            113       
49         1          77         10558      10636      1            78        
50         0          93         11128      11222      1            94        
51         0          201        11267      11469      1            202       
52         1          138        11433      11572      1            139       
53         0          33         11666      11699      0            33        
54         0          48         11887      11935      0            48        
55         0          100        12023      12124      1            101       
56         0          84         12385      12470      1            85        
57         0          182        12568      12751      1            183       
58         0          64         12764      12829      1            65        
59         0          33         12944      12977      0            33        
60         0          20         13407      13428      1            21        
61         0          219        13760      13980      1            220       
62         0          55         14150      14206      1            56        
63         0          114        14473      14587      0            114       
64         0          110        14991      15101      0            110       
65         1          112        15047      15160      1            113       
66         0          26         15134      15161      1            27        
67         0          59         15322      15382      1            60        
68         1          33         15379      15412      0            33        
70         1          114        15662      15777      1            115       
69         0          185        15598      15784      1            186       
72         1          20         15954      15975      1            21        
71         0          230        15891      16122      1            231       
74         0          46         16152      16199      1            47        
73         1          288        16077      16365      0            288       
75         0          35         16439      16474      0            35        
77         1          250        16795      17045      0            250       
76         0          335        16741      17077      1            336       
78         0          45         17166      17212      1            46        
79         0          104        17223      17328      1            105       
80         0          265        17709      17976      2            267       
81         0          90         18221      18311      0            90        
82         0          172        18409      18582      1            173       
83         0          214        18684      18899      1            215       
84         0          41         19009      19050      0            41        
85         0          105        19284      19390      1            106       
87         1          78         19678      19757      1            79        
86         0          193        19574      19768      1            194       
88         0          46         20070      20117      1            47        
89         0          10         20294      20305      1            11        
90         0          174        20362      20537      1            175       
91         0          106        20912      21019      1            107       
93         0          86         21034      21121      1            87        
94         0          39         21199      21239      1            40        
92         1          303        20984      21288      1            304       
95         0          14         21316      21331      1            15        
97         1          16         21734      21750      0            16        
96         0          208        21621      21830      1            209       
98         0          134        21834      21968      0            134       
99         0          145        22233      22379      1            146       
Average turnaround time: 71
